id,best_fitness,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Error,Wc_pp,Wc_pb,Wc_pbar,Wc_bp,Wc_bb,Wc_bbar,eta_ped,xi_ped,tau_ped,v_pref_ped,eta_bike,xi_bike,tau_bike,v_pref_bike
8304,0.996083186,0.003932215,0.06270738,0.028154515,0.05141337,0.002224965,1.694784878,0.999974395,0.996083186,185.6247647,281.8536877,45.0368692,2194.620511,1726.784241,1581.865612,1.237886252,1.027185863,0.456102978,1.358,3.832239948,3.765091739,0.875296125,3.073
8305,0.985978902,0.014220484,0.119249672,0.033352844,0.062172506,0.004143537,15.82739907,0.999929269,0.985978902,200.5443208,248.4808461,56.95560113,1516.258,2045.258742,1514.000396,1.369668451,1.988862161,0.433016755,1.358,4.837954966,2.087302493,0.657943738,3.073
8311,0.996093047,0.003922277,0.062628085,0.02808491,0.05155593,0.002222151,1.690501379,0.99997446,0.996093047,184.5366368,261.4661094,118.0413383,1879.557157,1903.490911,1171.970134,1.154104154,1.659050283,0.440520285,1.358,3.916261965,5.147502643,0.504969531,3.073
8307,0.997530959,0.002475152,0.049750897,0.021433973,0.039450834,0.001755748,1.891015948,0.999985389,0.997530959,206.2847226,281.564435,30.90520901,1697.66082,1578.068105,1631.166411,1.224067013,1.935402312,0.845757772,1.358,2.280561669,2.885092489,0.732533759,3.073
8310,0.997557921,0.002448057,0.049477843,0.021320727,0.039374983,0.001749915,1.907036377,0.999985534,0.997557921,195.081908,316.4831423,76.95350252,2123.175576,2047.538299,1539.389342,1.405707274,4.504367634,1.368446856,1.358,3.642120953,2.032904966,0.793660541,3.073
8309,0.996933319,0.003076115,0.055462734,0.024525737,0.045551676,0.001928575,2.842330155,0.999982436,0.996933319,178.9957001,224.9735407,61.24021976,1909.589424,1908.91563,1242.160977,1.022344468,2.812081806,1.295452477,1.358,3.562261525,2.774191305,0.742750369,3.073
8321,0.998549238,0.001452869,0.038116524,0.01830521,0.037601373,0.001336532,0.881891704,0.999990565,0.998549238,182.1202081,239.5330997,76.36325676,1680.435672,2070.811684,1480.576425,1.369577452,4.140967885,0.907225349,1.358,3.513141283,3.806472593,0.330676034,3.073
8320,0.996685378,0.003325645,0.057668404,0.026019389,0.049542836,0.002018191,2.690446676,0.999980441,0.996685378,182.9453249,275.2514501,110.7411659,1895.233217,1885.004751,967.1973793,2.529353251,3.448259524,1.095591643,1.358,2.204410883,2.700837184,0.540142611,3.073
8327,0.995597585,0.004421882,0.066497233,0.030345562,0.055361284,0.002334517,2.250737926,0.999974155,0.995597585,204.3551642,260.0400195,115.0206814,1624.810105,1853.696145,902.084911,3.0180505,4.587010886,0.353941055,1.358,3.143562473,4.879284795,0.984158366,3.073
8324,0.993027032,0.007021931,0.083796965,0.042990923,0.088665949,0.002829851,5.968641574,0.999947474,0.993027032,203.7394461,285.9209347,47.90218528,2061.238205,1608.10162,1018.976183,3.166643729,2.154006158,0.449737875,1.358,5.159102749,3.971618872,0.301077125,3.073
8328,0.861080303,0.161331871,0.401661389,0.05933459,0.119046954,0.013844123,79.05261694,0.998693559,0.861080303,172.0302692,288.1544461,119.1784387,2071.120648,1647.351068,1411.844899,1.760728516,4.038298242,1.405977991,1.358,5.557705723,2.827839497,0.75720989,3.073
8335,0.992431183,0.007626541,0.087330068,0.044880044,0.09171744,0.002953223,3.988680851,0.99993973,0.992431183,191.9903871,304.0429815,75.59681383,2012.503316,1735.204745,1432.173226,1.730503607,4.544714168,1.262428704,1.358,3.799813863,5.741040926,0.395100716,3.073
8334,0.993204003,0.006842499,0.082719399,0.042522533,0.095289718,0.002945058,4.153396923,0.999924317,0.993204003,187.6508464,206.0647122,56.92769326,1852.126114,1870.338204,994.5938067,1.483212541,1.089727552,0.831554563,1.358,2.978239827,3.53100165,0.660981411,3.073
8347,0.995825663,0.004191835,0.064744382,0.033658046,0.069491886,0.002486521,0.938971048,0.999972588,0.995825663,183.817224,249.2216902,50.22519066,2040.619525,2012.499433,1460.573848,1.077731185,2.302385672,1.209994413,1.358,3.063588596,4.408140992,0.719730999,3.073
8342,0.995396199,0.004625094,0.068008041,0.028909081,0.05811456,0.002614786,2.497550548,0.999977497,0.995396199,194.5685054,206.5880259,116.684465,1807.167103,1567.599572,984.8805006,3.361138905,1.81802941,0.429918192,1.358,2.795809447,5.705639691,0.961532364,3.073
8351,0.995242711,0.004780029,0.069137751,0.030792269,0.065005914,0.002658222,1.457908731,0.999978147,0.995242711,188.3624461,236.7805882,35.62639463,2059.038536,1903.66203,1218.601763,3.856087899,3.956290307,0.503309064,1.358,2.674662481,3.217294492,0.855392582,3.073
8352,0.995429574,0.004591411,0.067759951,0.027930883,0.056072584,0.002598127,2.318662562,0.99997499,0.995429574,188.5816524,191.3356112,34.71460138,1991.798643,1843.932315,1496.649469,1.911767742,1.486266932,0.514260279,1.358,5.44968633,5.294105539,0.523977193,3.073
