id,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference,lane_kf,type_most_common,vAlpha0_ped,tauAlpha_ped,A_pp,B_pp,A_wall,B_wall,m_gamma,tau_gamma,v_gamma0,a_gamma_max,b_gamma,eta_gamma,mu_gamma,eps_m,A_w,B_w,A_s,B_s,T_i
8304,0.867185742,0.000355349,0.018850707,0.009808287,0.018318319,0.000668855,0.153155491,0.999997686,0.867185742,40,0,1.358,0.5,2533.782279,1.457690801,2207.390367,1.010964958,200,0.5,3.073,4,4,0.3,1.2,2.053187637,663.9277347,0.075307417,2792.438131,0.195076139,0.97
8305,0.004468321,0.200177644,0.447412163,0.02920196,0.047014844,0.015546113,222.7977178,0.999004338,0.004468321,40,0,1.358,0.5,2463.203714,1.718864915,847.1791126,0.584396289,200,0.5,3.073,4,4,0.3,1.2,1.720244009,2306.537376,0.155697294,833.1638014,0.969132221,0.97
8308,0.987874135,0.000170482,0.013056877,0.006430525,0.012647804,0.000681408,0.012274706,0.999998603,0.987874135,1,0,1.358,0.5,2913.722675,1.719280781,915.9729529,0.250448203,200,0.5,3.073,4,4,0.3,1.2,4.309243769,2397.321305,0.438859224,756.1729844,0.633363305,0.97
8311,0.841815524,0.000435983,0.020880208,0.011173236,0.021752363,0.000740865,0.187908718,0.999997161,0.841815524,39,0,1.358,0.5,2789.75609,1.859902297,2677.960799,1.933193096,200,0.5,3.073,4,4,0.3,1.2,2.91948834,1037.821068,0.436361213,2091.637793,1.380629183,0.97
8312,0.923714757,0.000338464,0.018397398,0.009683157,0.020829509,0.00085633,0.082585282,0.999997605,0.923714757,39,0,1.358,0.5,2480.515816,1.901562375,1694.536837,0.594338139,200,0.5,3.073,4,4,0.3,1.2,1.798867484,2332.129719,1.490723736,1181.813306,0.229249882,0.97
8306,0.970582545,0.000265869,0.016305491,0.008655894,0.018012703,0.00083476,0.030309071,0.999997804,0.970582545,39,0,1.358,0.5,2954.432824,1.667238537,1610.612489,1.966157788,200,0.5,3.073,4,4,0.3,1.2,4.168134404,763.6948788,1.381431954,1049.535004,1.466642623,0.97
8314,0.923437583,0.000373469,0.019325358,0.010266779,0.021396756,0.00089389,0.082910224,0.999997497,0.923437583,39,0,1.358,0.5,2579.987387,1.422677755,1698.345632,1.112796043,200,0.5,3.073,4,4,0.3,1.2,4.259336019,2242.816103,0.195154212,1996.557669,0.851326674,0.97
8315,0.966225288,0.00032366,0.017990563,0.009869894,0.020842519,0.000900513,0.034955318,0.999997482,0.966225288,39,0,1.358,0.5,2589.999877,1.9665415,2394.926917,0.539832193,200,0.5,3.073,4,4,0.3,1.2,2.163073375,1340.721603,0.517905258,2694.949926,1.153897412,0.97
8307,0.68441488,0.000603537,0.024566985,0.013594246,0.022844571,0.000866988,0.461102072,0.999996437,0.68441488,40,0,1.358,0.5,2814.185227,1.985036067,1232.236345,1.517431469,200,0.5,3.073,4,4,0.3,1.2,2.293663547,2541.5127,0.495281512,1476.589347,1.421714319,0.97
8310,0.706381967,0.000533588,0.023099513,0.012512419,0.018957869,0.000816976,0.415664679,0.999996847,0.706381967,40,0,1.358,0.5,2902.826758,1.35515816,1215.706591,0.934935222,200,0.5,3.073,4,4,0.3,1.2,2.164698488,856.2868748,1.911773861,1225.462487,1.114553324,0.97
