Follower_ID,Run_Index,T,a,b,v0,so,delta,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference,Duration,source
211,41,0.749118311,0.766878575,2.961043745,30.76938376,4.2471377,4.094598715,83.6249903,0.421262055,0.649047036,0.464583279,0.203703378,0.03674676,75.82716983,0.883602105,83.6249903,17.9,I294l2
24,9,0.785008665,3.0175696,2.368636374,34.34100371,5.082855861,3.820919145,789.6141219,1.482278859,1.217488751,1.139414317,0.328031035,0.019615568,1027.219249,0.983929594,789.6141219,69.2,I294l1
18,19,0.795590034,0.714739665,2.783478951,29.19317665,0.711462156,3.804143942,2708.660658,6.978258065,2.641639276,2.307206693,0.621602179,0.02321511,8192.474969,0.963536983,2708.660658,117.3,I294l1
54,20,0.850017642,1.013055805,3.328884771,32.29377484,2.629288133,4.018118852,3394.414954,6.637294422,2.576294708,2.13888781,0.47897167,0.019080832,10533.38625,0.97639228,3394.414954,158.6,I294l1
118,30,0.855931233,2.54753237,1.522406636,29.34882475,2.001173919,4.035310287,156.6245124,0.457428016,0.676334249,0.586608661,0.453924004,0.02366386,122.1332802,0.978057754,156.6245124,26.6,I294l2
12,1,0.885702158,1.987858785,2.210689192,31.33285699,2.223751474,3.986709297,5091.123595,14.19518044,3.767649193,3.168091845,0.278509901,0.012956521,22811.65497,0.993124174,5091.123595,160.6,I294l1
17,7,0.917398565,3.882110912,3.092466411,32.51394148,3.853029619,3.802250613,2434.551102,21.42796211,4.629034685,3.733974083,0.703038381,0.028660035,13971.0313,0.933383797,2434.551102,65.1,I294l1
59,18,0.953637945,2.801309982,2.630425028,35.50911227,4.84879339,4.668049779,3199.133736,10.0405951,3.168689808,2.359243168,0.884010297,0.013139751,13615.04696,0.994129353,3199.133736,135.5,I294l1
64,18,0.982134016,0.959041643,3.163192806,34.0327329,1.721622385,4.232929645,4660.521652,27.11539596,5.207244565,3.845314895,0.905385719,0.017408568,32863.8599,0.98476766,4660.521652,121.1,I294l1
41,3,1.30072839,1.503814968,2.391994964,34.23282418,3.539844585,3.930627252,1600.129051,9.614678527,3.100754509,2.480820234,0.508725099,0.021872286,6201.46765,0.979712516,1600.129051,64.4,I294l1
30,9,1.311893179,0.97283124,3.536640017,31.66126748,3.745460911,3.60894037,9199.249834,80.42522871,8.968011413,6.749266203,0.771978441,0.01773737,109619.5867,0.98948518,9199.249834,136.2,I294l1
8,1,1.324961186,0.679493386,1.679284248,35.11034661,3.257585284,4.228232352,3777.256078,8.326522498,2.885571433,2.521532763,0.257642237,0.012682574,12473.1307,0.993859502,3777.256078,149.7,I294l1
25,19,1.526270676,1.519535331,1.275115719,34.11596117,2.361227945,3.889088873,2666.548034,4.048978857,2.012207459,1.804159699,0.374136904,0.016739801,5984.390751,0.984985034,2666.548034,147.7,I294l1
181,33,1.526845103,3.238581313,3.082534905,29.64379656,1.625266314,3.854309034,503.5510686,5.421215064,2.328350288,2.006179556,0.691323253,0.053090404,1360.724981,0.921464101,503.5510686,25,I294l2
9,1,1.643795018,0.523257188,2.160947461,34.89058609,1.633072742,4.366423399,2662.579615,4.178594875,2.044161167,1.777422974,0.190201733,0.010147251,6259.535122,0.995798319,2662.579615,149.7,I294l1
46,36,1.555117543,1.827588767,2.845751038,30.08211702,1.873907258,3.905577164,55.3482743,0.04704555,0.216899862,0.19151652,0.120071795,0.029235587,13.59616399,0.935884184,55.3482743,28.8,I294l2
218,35,1.20258366,0.816458214,2.335551213,32.23519915,2.069072725,3.902698281,42.09825217,0.07116479,0.266767295,0.233879179,0.15871432,0.022349171,12.80966212,0.979686245,42.09825217,17.9,I294l2
19,19,1.281788347,1.816817893,3.602189954,34.50933492,1.673010958,3.948977359,2216.890711,8.579016919,2.928995889,2.667738521,0.479337363,0.021827801,7129.163059,0.980400548,2216.890711,83,I294l1
291,28,1.290054657,0.678763892,1.954535025,29.07709189,2.923314776,3.707486239,233.6097426,1.356766392,1.164803156,1.123123762,0.391065202,0.035497568,282.2074095,0.958233301,233.6097426,20.7,I294l2
35,11,1.31930417,2.615952246,2.563655974,34.7611202,5.310006876,4.960953036,6830.238137,44.79469496,6.692883905,6.289353717,1.557891323,0.015126346,48647.03873,0.991188941,6830.238137,108.5,I294l1
462,5,1.396758511,0.25812902,2.916943561,30.4033129,3.323104472,4.03598329,487.7343169,5.54596761,2.354987815,1.982659825,0.504087281,0.048063515,1364.308032,0.899493782,487.7343169,24.5,I294l2
13,21,1.417574765,0.857059045,3.028708126,34.716161,4.16188834,4.522098693,1192.334001,5.262151723,2.293938038,1.769041544,0.565445735,0.017936756,3546.690261,0.989490866,1192.334001,67.3,I294l1
19,11,1.508077014,0.728680793,1.936049803,34.38287535,4.452222833,4.261122185,484.916728,1.234950886,1.111283441,0.948956415,0.407425945,0.006258583,631.0599028,0.998637724,484.916728,51,I294l1
107,23,1.538824128,0.989976111,2.307407688,27.8504294,1.915707201,3.703504371,74.70305974,0.521342562,0.722040555,0.60244403,0.318017557,0.030059123,64.64647774,0.969608676,74.70305974,12.4,I294l2
51,8,1.548584932,1.152740437,2.215044041,33.89434967,6.198277982,4.258255858,6319.414326,6.989653641,2.64379531,2.39009619,inf,0.006494455,18480.64423,0.998761384,6319.414326,264.3,I294l1
229,42,1.606848817,0.634126561,2.568153703,27.44399857,0.916998025,4.076321186,114.7998651,0.241809539,0.491741333,0.451967973,0.215191556,0.018159012,61.4196229,0.984230457,114.7998651,25.3,I294l2
65,8,1.620242999,2.720162216,1.592737232,32.6877766,4.979616349,4.486589933,13435.46282,15.01850749,3.875371917,3.495177634,inf,0.00545298,57731.1428,0.999159862,13435.46282,384.3,I294l1
10182,1,1.661775302,1.031354833,1.631380265,27.26069994,3.264713945,4.362519455,125.0835902,1.975472723,1.405515109,1.359604241,1.203430877,0.039294783,181.7434905,0.935864528,125.0835902,9.1,I395
17,21,1.754699695,0.608909583,2.568198125,30.6447231,4.438398069,4.414513333,7025.367895,34.25383417,5.852677521,4.579770466,0.623535018,0.012576916,52545.38161,0.993942134,7025.367895,153.3,I294l1
11,21,1.75757739,0.844929557,2.297789994,30.39674295,5.423084106,4.052315743,5300.087329,20.50359381,4.528089422,3.477747591,0.528672923,0.011660448,31247.47697,0.995002835,5300.087329,152.3,I294l1
5741,1,1.913475041,0.782127863,3.007098212,31.11508405,5.368036026,4.300849855,2135.884271,15.50199569,3.937257382,3.682559088,1.868092166,0.020243827,8991.1575,0.987722593,2135.884271,57.9,I395
9505,1,2.333269223,3.44678164,2.63124553,28.3355388,1.420681148,3.507565664,55.76775585,1.921121348,1.386045219,1.429942458,1.529265716,0.065678967,74.92373257,0.82682647,55.76775585,3.8,I395
