Follower_ID,Run_Index,T,a,b,v0,so,delta,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference,Duration,source
24,1,1.433226862,1.719300668,1.114627101,24.49735005,1.292056924,4.025032475,9318.652939,51.23009877,7.157520434,5.784390403,0.863569158,0.039720255,82531.68911,0.89755256,9318.652939,161,I294l1
24,1,1.433226862,1.719300668,1.114627101,24.49735005,1.292056924,4.025032475,9318.652939,51.23009877,7.157520434,5.784390403,0.863569158,0.039720255,82531.68911,0.89755256,9318.652939,161,I294l1
24,1,1.433226862,1.719300668,1.114627101,24.49735005,1.292056924,4.025032475,9318.652939,51.23009877,7.157520434,5.784390403,0.863569158,0.039720255,82531.68911,0.89755256,9318.652939,161,I294l1
3455,2,2.480284099,1.765117403,1.273751545,25.29074583,5.554725982,3.881879226,1848.552552,3.708802995,1.925825276,1.742273847,inf,0.056083974,3935.039978,0.87831804,1848.552552,106,I9094
4559,1,0.382791924,3.414048174,1.328574209,26.86256056,2.578323675,3.913971327,429.9642696,5.329636433,2.308600536,1.79151779,2.500317392,0.037229851,1279.112744,0.959637505,429.9642696,23.9,I395
8,33,0.823886268,3.218231162,1.367878196,27.44736131,2.34948324,4.486102031,411.041737,4.092437085,2.022977282,1.556976277,0.655030809,0.037888761,1080.40339,0.938169465,411.041737,26.3,I294l2
7934,1,2.227256597,0.326605898,1.38770612,17.46766545,3.513986394,4.298116377,658.4506107,8.088863466,2.844092732,2.572072698,2.578514051,0.048079728,2070.749047,0.962140585,658.4506107,25.5,I395
102,29,1.609148889,0.472522803,1.763964019,25.15299254,5.197074695,4.042028567,56.94207312,0.131641055,0.362823724,0.345103473,0.19594969,0.021815473,21.72077401,0.981625417,56.94207312,16.4,I294l2
55,3,1.165479814,0.439648318,1.80152178,26.25426586,2.499007369,4.013354366,2569.934596,35.21744831,5.934429063,5.029226216,0.860644769,0.03830751,17996.11609,0.951431432,2569.934596,51,I294l1
209,31,2.062983898,0.370516236,1.836949582,26.88825375,3.972348064,3.812739445,202.93749,3.138544643,1.771593814,1.811941875,0.777107781,0.046456885,351.5170001,0.942481477,202.93749,11.1,I294l2
8008,1,-0.43288682,1.053132887,2.010281956,23.23978611,1.688944847,4.596551296,468.7900396,11.25104912,3.354258356,3.189047888,2.01352527,0.029962941,1653.90422,0.985800122,468.7900396,14.6,I395
25,11,1.744941613,0.364506038,2.016182848,22.49117622,3.036552077,4.901768996,1885.957812,15.73871083,3.96720441,2.901473557,1.487593198,0.027214679,10230.16204,0.971736929,1885.957812,64.9,I294l1
21,11,1.718695735,1.756220677,2.057797029,26.53924371,5.002934444,3.737380556,4678.032308,23.34123417,4.831276661,3.727515783,0.999225959,0.013891329,29293.24888,0.994844072,4678.032308,125.4,I294l1
1789,18,2.647188565,0.457915697,2.075590708,13.25121398,4.110415318,4.083926671,5838.56251,76.95682826,8.772504104,6.992290431,1.542984737,0.027047488,64258.95159,0.972831624,5838.56251,83.4,I294l1
532,1,1.807448025,3.69302158,2.076100467,24.22455716,1.101535771,3.437974017,140.6904154,13.39132083,3.659415367,3.702379353,6.628935432,0.136150371,508.8701915,0.528776443,140.6904154,3.7,I395
213,35,1.912087511,3.487212494,2.303262347,24.85295808,2.605767445,3.83268286,124.7976342,0.304013309,0.55137402,0.507307456,0.208619744,0.041870631,74.78727411,0.930622476,124.7976342,24.5,I294l2
213,35,1.912087511,3.487212494,2.303262347,24.85295808,2.605767445,3.83268286,124.7976342,0.304013309,0.55137402,0.507307456,0.208619744,0.041870631,74.78727411,0.930622476,124.7976342,24.5,I294l2
88,30,1.843355777,2.966492581,2.328875977,19.6817311,2.943914804,3.85305664,126.5197773,0.434470616,0.65914385,0.488493348,0.316388325,0.0221566,112.5278894,0.949364745,126.5197773,25.8,I294l2
374,9,1.885520975,2.39996338,2.560725145,19.68908506,3.14399105,4.123419989,1465.267085,18.48434592,4.299342499,3.700169408,1.100086447,0.043276936,7319.800985,0.884745105,1465.267085,39.5,I294l1
10398,1,-0.354727025,3.091179158,2.746201004,14.41331032,1.097121089,4.858455902,209.4882289,2.698284181,1.642645482,1.46495265,0.687923595,0.072350844,385.8546378,0.792678575,209.4882289,14.2,I395
1485,8,2.049729908,0.048034556,2.783297406,19.22049255,4.913488936,3.954027084,1474.915658,5.945466462,2.438332722,2.279622346,inf,0.055687005,3846.716801,0.879104541,1474.915658,64.6,I294l1
6395,1,3.163006271,3.438151531,3.074227859,27.1042168,4.258524863,4.35257387,4656.629163,460.8527691,21.46748167,16.57163403,17.99282556,0.122057409,129499.6281,0.817487149,4656.629163,28,I395
