Follower_ID,Run_Index,T,a,b,v0,so,delta,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference,Duration,source
158,23,-0.158659097,0.580585619,3.071878908,34.48800197,2.519862505,4.070966306,91.83761284,0.561939448,0.749626206,0.734700903,0.188968821,0.047482901,70.24243102,0.904257621,91.83761284,12.4,I294l2
1243,1,-0.112121937,2.126253286,3.161765936,29.88368096,1.039873285,3.491064229,32.8460201,0.829527569,0.910784041,0.842205643,0.92483126,0.115024755,32.35157521,0.623427175,32.8460201,3.8,I395
440,28,0.272486585,1.878594103,2.60378511,33.59776952,1.853769858,3.790405791,475.3126656,3.697074803,1.922777887,1.863971238,0.708860282,0.033239468,942.7540749,0.959674585,475.3126656,25.4,I294l2
220,42,0.321295399,1.401666403,2.718149618,31.30784525,1.853011266,4.061201924,94.61275387,0.354301312,0.59523215,0.528562871,0.296259273,0.031929164,63.41993489,0.950198543,94.61275387,17.8,I294l2
4740,1,0.393578251,2.414795058,3.159540369,31.460881,1.394420026,4.047535538,182.1905565,4.345943451,2.084692651,1.980332136,1.56303581,0.066235632,399.8267975,0.756891017,182.1905565,9.1,I395
45,9,0.432944083,0.54876797,1.733248277,23.31892814,1.554690892,3.876070873,795.4717704,12.09644698,3.477994678,2.018963884,1.010048156,0.078002741,4766.000109,0.787146048,795.4717704,39.3,I294l1
5,7,0.438465551,3.432127171,2.515299395,29.46205864,2.222171232,4.747108559,2967.948407,39.58551544,6.29170211,5.830939897,0.963393556,0.054951106,20149.02736,0.852399387,2967.948407,50.8,I294l1
299,42,0.441133876,0.434609794,1.320264186,33.49730097,1.492275151,4.092686987,253.7694783,1.558419329,1.248366665,1.031583245,0.30254704,0.029974166,383.3711549,0.959624317,253.7694783,24.5,I294l2
352,38,0.463124172,2.715266259,1.397411015,33.90713509,1.804244057,4.808930087,496.1764539,10.51105009,3.242074967,3.007130024,1.24241322,0.042711277,1734.323265,0.944461055,496.1764539,16.4,I294l2
70,36,0.471054795,1.141636332,3.052127647,33.0548302,1.366493241,4.010489237,79.47530921,0.256627785,0.506584431,0.439090106,0.397609963,0.025034244,46.44962914,0.973349262,79.47530921,18,I294l2
425,42,0.50113711,0.790000356,1.876043385,32.56367087,1.144955134,3.438128757,616.3587126,9.281402681,3.04653946,2.751601395,1.065876341,0.054373811,2079.0342,0.859967553,616.3587126,22.3,I294l2
613,20,0.556804283,2.714483646,3.268548368,33.87827552,3.185282213,4.672115013,1869.17384,9.460482586,3.07578975,2.888985843,0.600634278,0.019026132,6120.932233,0.979794415,1869.17384,64.6,I294l1
115,30,0.744837777,2.644660258,1.808135731,34.14799584,1.540190987,4.342029173,107.375468,0.961433643,0.980527227,0.994217296,0.715097999,0.027871874,103.8348335,0.974666821,107.375468,10.7,I294l2
2042,1,0.751703759,0.978672252,3.044272761,25.39393109,5.829454877,4.117252616,811.3596969,2.861009524,1.691451898,1.398896029,1.211181056,0.013345328,1659.385524,0.995931801,811.3596969,57.9,I395
174,30,0.77870555,2.930797985,2.119947478,33.99263239,2.817968812,4.565775431,620.9504632,11.7807697,3.432312588,2.334400238,0.63648487,0.053203099,3133.68474,0.930206417,620.9504632,26.6,I294l2
1062,8,1.406052692,0.875596045,1.882791884,33.811169,5.220845763,4.619193899,8062.337212,35.38779168,5.948763879,5.029530388,2.09701897,0.009380809,56726.63007,0.998464626,8062.337212,160.2,I294l1
1984,1,1.572899785,1.571255856,1.690519171,24.12461603,5.165910689,4.215270353,191.8725486,0.804120242,0.896727518,0.646035517,0.615236918,0.019031199,238.8237119,0.985661436,191.8725486,29.6,I395
171,9,1.777291376,0.328108907,2.138829847,33.61554436,1.81771275,4.064072821,7399.634981,64.33767461,8.021076898,6.281523753,0.883780521,0.029440911,75789.78069,0.952203485,7399.634981,117.7,I294l1
367,28,1.975242294,0.117469404,2.554536645,33.59126233,2.084465188,4.300245907,360.0126055,3.370404988,1.835866277,1.722548352,0.422811392,0.114590679,704.4146424,0.49994881,360.0126055,20.8,I294l2
856,1,1.996257282,2.560055747,3.402960294,23.44684054,5.113774719,4.840889628,247.4706993,0.913249916,0.955641102,0.838883727,1.000999473,0.019079405,269.4087253,0.991518205,247.4706993,29.4,I395
5747,1,2.00991476,0.782949981,2.605659833,32.07501444,5.044717767,3.976244353,872.6756516,7.409281809,2.721999598,1.759426717,1.314798873,0.022961981,3675.003778,0.988885005,872.6756516,49.5,I395
61,8,2.065973892,0.433361298,1.081172475,23.27567971,4.509585209,3.312593078,3658.019902,6.98635267,2.64317095,2.378426464,inf,0.010309713,10745.01041,0.994403243,3658.019902,153.7,I294l1
9897,1,2.082816865,1.89702696,1.991743622,33.09037672,4.235579248,3.801167505,1580.264064,2.244830398,1.498275808,1.481034736,10.92454478,0.049429504,2395.234035,0.842687468,1580.264064,106.6,I9094
2019,8,2.154828616,0.49294451,1.33144294,33.0906324,5.230195259,4.387439264,3961.525599,37.73862486,6.143177098,4.772922409,3.184002137,0.027215386,31323.05863,0.975793051,3961.525599,82.9,I294l1
650,1,2.298785284,0.929250273,3.370283615,32.29103128,1.930989309,4.534918656,397.0975269,2.870406498,1.694227405,1.393324656,1.476328288,0.025751766,818.065852,0.986560076,397.0975269,28.4,I395
2000,1,2.380959156,1.550745287,1.877973221,34.45241241,4.699742903,4.521922033,1133.598603,18.55613898,4.307683714,3.229625649,2.547883889,0.031474696,6513.204781,0.981530685,1133.598603,35,I395
