Follower_ID,Run_Index,Tmax,Alpha,Beta,Wc,Gamma1,Gamma2,Wm,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference,source,Gamma
5741,1,7.493538944,0.091598765,3.952533817,65665.03498,1.120299679,1.035131017,3.865101961,1866.167809,24.78755758,4.978710434,3.217530706,4.149701554,0.077618143,14376.7834,0.789399829,1866.167809,I395,1.077715348
211,41,5.524546547,0.161656975,4.498491489,90822.75114,2.0238701,2.033699632,1.931607897,129.0739538,0.510359123,0.714394235,0.717077521,0.42343393,0.058761281,91.86464209,0.796957488,129.0739538,I294l2,2.028784866
11,7,4.62618083,0.097613945,4.951543394,83383.95884,1.867973925,1.07942022,8.183268589,5296.483135,28.31666131,5.32134018,4.240578971,1.13491337,0.046514964,35367.50998,0.821650314,5296.483135,I294l1,1.473697073
218,35,5.590141409,0.373493981,5.021703781,80466.05071,1.986366163,1.267180593,3.958721306,68.07804955,0.323929227,0.569147807,0.378211386,0.351029907,0.073414904,58.30726081,0.851855259,68.07804955,I294l2,1.626773378
5385,1,5.655821777,0.290654646,2.130968982,60051.2445,1.989343077,1.998718119,5.20324422,1303.430075,28.88467954,5.374446905,5.476596955,7.019023927,0.099778028,6874.55373,0.889233223,1303.430075,I395,1.994030598
54,20,5.56504302,0.282837353,7.329234304,109657.8562,1.747151986,1.312497995,2.528551995,6392.454497,40.2731243,6.346110959,4.028011656,0.94701262,0.045565917,63913.44827,0.909345922,6392.454497,I294l1,1.52982499
30,9,4.273206097,0.479806731,6.823569024,125426.0631,1.13107143,1.173987327,6.816560873,18512.27824,266.85555,16.33571394,13.58200898,2.525804391,0.059984224,363724.1146,0.909819031,18512.27824,I294l1,1.152529378
7832,1,6.705504758,0.466679496,6.385551301,72921.47638,1.981845554,1.90835762,6.95366032,170.9517334,1.314143999,1.146361199,1.203885447,1.754928556,0.066052122,186.6084479,0.913381468,170.9517334,I395,1.945101587
291,28,4.014351758,0.42034098,5.033389775,98464.78613,1.979007427,1.085170264,2.482863658,283.3459705,1.934265823,1.390778855,1.362240243,0.679524839,0.061414785,402.3272912,0.913509763,283.3459705,I294l2,1.532088845
118,30,3.309124099,0.429089,6.963498664,89210.40732,1.837765884,1.129683871,5.442678579,326.86011,1.458821784,1.20781695,1.224195169,0.960325177,0.051829614,389.5054165,0.928807341,326.86011,I294l2,1.483724878
72,38,5.978251103,0.393554087,5.883956131,61867.76629,1.454322547,1.363674581,4.549558346,157.1464736,0.413701057,0.643195971,0.701546757,0.692956006,0.044474168,92.66903687,0.929344327,157.1464736,I294l2,1.408998564
28,9,6.074674858,0.160371431,5.422213778,85882.07685,1.965314467,1.15663869,5.8214771,1030.764681,8.151334088,2.855054131,2.342647002,0.970912921,0.059435602,3586.586999,0.930354586,1030.764681,I294l1,1.560976579
50,20,5.711595555,0.333538765,6.463720701,91473.54972,1.788651338,1.164229157,4.350397862,4601.300895,11.22114936,3.349798406,2.92889936,0.543096442,0.031005685,17628.42565,0.93175858,4601.300895,I294l1,1.476440247
1779,1,7.706441309,0.536238803,5.848587719,118628.9508,2.075992125,1.805607523,6.33322403,2969.187929,133.7413663,11.56466023,10.6042426,7.347326559,0.082536609,37447.58255,0.932717066,2969.187929,I395,1.940799824
41,3,7.230318412,0.192474404,8.090337208,114780.6256,1.915540754,1.138738239,4.529482384,1910.537565,12.30584178,3.507968326,2.962073745,0.908186421,0.046420869,7937.267948,0.934873917,1910.537565,I294l1,1.527139497
90,29,6.96805097,0.1928025,6.592854859,107200.4684,2.012174518,1.149075437,3.687963006,73.43349707,0.181140748,0.42560633,0.445051497,0.316312785,0.047983688,29.88822346,0.93986337,73.43349707,I294l2,1.580624978
9,1,6.33662872,0.26569193,7.861297075,113565.5131,1.767103434,1.110291669,2.127433627,4091.592113,9.700183351,3.114511736,2.731369902,0.755113587,0.045541145,14530.87466,0.940596202,4091.592113,I294l1,1.438697552
13,21,7.060314357,0.467821105,5.399619281,74962.1,2.017071415,1.289037582,5.777197546,2309.823497,13.86264812,3.723257729,3.42703783,1.514454574,0.046969434,9343.42483,0.948811797,2309.823497,I294l1,1.653054498
8,1,6.443285838,0.080362197,7.217286589,127047.731,1.851748211,1.236524558,5.386434498,6393.690279,22.91646079,4.787114036,4.268151054,0.74857255,0.040108646,34328.85827,0.957069823,6393.690279,I294l1,1.544136384
25,19,7.286071338,0.173004132,4.394714713,68585.68143,1.671955715,1.152632704,5.805301378,3292.731744,6.960957428,2.638362641,2.227829326,0.659227403,0.031361806,10288.29508,0.964146776,3292.731744,I294l1,1.412294209
3330,1,6.735731877,0.344510099,3.817838277,90153.94329,1.926079196,1.040195207,5.74857111,877.5788384,2.806729831,1.675329768,1.769312174,3.10932939,0.033718827,1392.137996,0.967851734,877.5788384,I395,1.483137202
4715,1,3.454155819,0.447047981,5.166589495,103421.9795,1.560338127,1.382923374,3.514428572,1543.096801,20.24675277,4.499639183,3.886893705,3.781814772,0.033989048,8037.960851,0.970001656,1543.096801,I395,1.471630751
35,11,7.703673203,0.5466372,3.163088483,69363.95829,1.534122659,1.351198177,7.289715758,4945.163682,21.89540785,4.679252916,4.553557718,2.693955641,0.0288258,23778.41293,0.972905018,4945.163682,I294l1,1.442660418
12,1,7.354362989,0.652581755,4.037685429,110644.7283,1.834252254,1.058775058,2.986316267,4763.914459,12.0978776,3.478200339,2.964476951,0.58022522,0.029291788,19441.2893,0.975010414,4763.914459,I294l1,1.446513656
8692,1,6.800101734,0.471469226,3.949404188,76012.93087,1.908009034,1.372576041,4.584276934,1505.349252,23.00374575,4.796222029,4.589479428,6.533588067,0.039802622,7545.228605,0.977517574,1505.349252,I395,1.640292537
7299,1,6.4269208,0.243050072,5.922533449,120504.4771,1.563742561,1.56809654,4.223562261,496.0258176,1.129373251,1.062719743,1.050902156,2.087674402,0.027665346,533.0641746,0.985611425,496.0258176,I395,1.565919551
51,8,6.21060063,0.295694709,5.804347648,112386.4473,1.722911458,1.264259882,4.010619643,9810.785811,27.20222138,5.215574885,3.710584648,inf,0.023335922,71922.67333,0.987123587,9810.785811,I294l1,1.49358567
62,8,5.865894599,0.384284971,5.795058729,114781.2588,1.717093178,1.324982305,6.423886845,17473.73637,36.57850695,6.048016779,4.545717059,inf,0.019841568,140607.7807,0.989865532,17473.73637,I294l1,1.521037741
8171,1,5.583295197,0.14360127,6.03398098,68885.32099,1.810325951,1.349661785,5.410336792,190.212594,0.362833734,0.602356816,0.66741261,1.618698138,0.020930686,103.4076142,0.99253057,190.212594,I395,1.579993868
65,8,6.064335778,0.320397095,2.018219907,72530.45863,1.861055909,1.145152458,6.090620361,18443.18811,58.78903957,7.667401096,4.797915742,inf,0.01613242,225985.0681,0.994355851,18443.18811,I294l1,1.503104184
