Follower_ID,Run_Index,Tmax,Alpha,Beta,Wc,Gamma1,Gamma2,Wm,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference,source,Gamma
34,7,7.299657741,0.141146321,5.695335717,115533.9139,1.867357036,1.08863278,4.627494895,16960.57441,120.7077412,10.98670748,9.78118478,2.781584551,0.050104843,209307.2232,0.670175733,16960.57441,I294l1,1.477994908
55,20,6.267154247,0.149077841,3.534285154,129024.6264,1.829655932,1.924964514,6.978904981,1137.455132,6.9426293,2.634886961,2.682677198,2.116689294,0.092255583,2943.674823,0.710003754,1137.455132,I294l1,1.877310223
8,35,7.409897334,0.154020657,6.118682375,117513.8489,1.97517736,1.012186215,5.886680991,230.8678923,1.564332196,1.250732664,1.12618484,0.78329913,0.065481936,320.6881002,0.919867479,230.8678923,I294l2,1.493681787
8194,1,2.285674521,0.159266374,6.961089889,121554.4876,1.972205718,1.031579385,7.99030232,989.3873191,7.202535004,2.683753902,2.467300048,2.451311257,0.052334794,2888.216537,0.956830188,989.3873191,I395,1.501892552
9,42,6.599886295,0.187053648,4.14437151,62272.59814,1.066830683,1.056874354,5.651320258,9.697664631,0.105634816,0.3250151,0.334402229,0.604547603,0.065051918,3.06340965,0.882012389,9.697664631,I294l2,1.061852519
3450,1,6.065289692,0.197074957,4.078672656,91504.58793,2.022234572,1.093172437,3.609581654,655.799713,14.35588009,3.788915424,2.876314531,2.943409441,0.049681466,3273.140661,0.939119339,655.799713,I395,1.557703505
111,23,7.058454792,0.205582825,6.794011723,112005.1647,1.613344132,1.296382897,6.307109166,17.90326936,0.058808961,0.242505589,0.245250265,0.320481925,0.031158204,4.293054139,0.952460371,17.90326936,I294l2,1.454863514
603,11,2.172784923,0.206343021,5.39075286,86802.90446,1.858004352,1.852022493,4.324797238,5254.356731,124.7400517,11.1687086,10.30266026,3.907262304,0.073554512,63617.42636,0.87787051,5254.356731,I294l1,1.855013422
5284,1,5.308871465,0.212351414,6.275337114,100482.5517,1.988049544,1.019872296,4.685522967,1420.321281,17.47437709,4.180236487,4.214603208,4.34675191,0.086143872,5888.865079,0.85002859,1420.321281,I395,1.50396092
102,29,4.040376427,0.226837047,7.283828004,82956.94774,1.371921772,1.95984433,2.138703826,131.4138855,0.602532672,0.77622978,0.796447791,0.581662798,0.074057036,99.41789088,0.854824167,131.4138855,I294l2,1.665883051
30,3,5.746643857,0.344563827,6.259547045,103862.3051,1.970924305,1.946016171,7.509992165,331.1938205,1.138527299,1.067017947,1.19997761,0.996823518,0.062044715,314.2335346,0.842793801,331.1938205,I294l1,1.958470238
260,5,4.900810474,0.356790611,3.578770995,63266.62098,1.832510165,1.302067555,5.858267676,265.0519896,0.587786479,0.766672341,0.820594395,0.625004956,0.052573149,189.8550327,0.907281124,265.0519896,I294l2,1.56728886
93,8,7.578819729,0.408909748,6.688713567,119787.0382,1.76255233,1.004333403,7.940264871,25293.82511,124.4423921,11.15537503,9.580994359,inf,0.026464851,328527.9153,0.978244457,25293.82511,I294l1,1.383442867
7581,1,6.205729571,0.45397177,7.233583312,98527.72075,1.907290866,1.269248627,2.193099436,742.0062113,4.657557643,2.15813754,2.066869669,3.044784075,0.068749678,1672.063194,0.903658232,742.0062113,I395,1.588269747
25,33,6.280264391,0.455163345,4.531690706,112565.4073,1.581161544,1.404990904,5.390882051,149.3499752,0.618713186,0.786583235,0.85342843,0.875035685,0.065869666,108.2748075,0.857108746,149.3499752,I294l2,1.493076224
7082,1,7.128185358,0.495017748,3.619639533,86733.75143,1.222105004,1.501223161,7.435338279,2061.068515,56.56253521,7.520806819,5.956845419,6.319227128,0.079713393,19570.63718,0.839461318,2061.068515,I395,1.361664083
71,36,4.879643747,0.497417455,4.267578719,124934.2291,1.90789503,1.419271317,3.143552332,171.1851508,0.837870967,0.915352919,1.043811895,0.805001069,0.091868774,137.4108386,0.806347133,171.1851508,I294l2,1.663583173
4,19,5.776480356,0.517062626,7.315211235,122518.4982,1.913969404,1.169926595,7.945851281,1566.484722,17.2926647,4.158444986,4.339292859,1.785131721,0.059068626,6242.651956,0.842462494,1566.484722,I294l1,1.541947999
8884,1,4.833385616,0.528230436,3.231846788,77593.46729,2.015146768,1.818590403,5.050709514,258.1891945,0.835057141,0.91381461,0.902759421,2.000073076,0.031640965,238.8263424,0.977545072,258.1891945,I395,1.916868586
7334,1,5.742724345,0.545132135,4.900941682,108095.4809,1.991084839,1.014457275,2.265499782,443.1480061,3.163539759,1.77863424,1.197697314,1.077234585,0.055504206,1170.509711,0.953877173,443.1480061,I395,1.502771057
